INS_IDINSTRUMENTO	TEM_IDTEMA	IXP_ORDEN	PRE_TIPOPREGUNTA	PRE_IDPREGUNTA	PRE_PREGUNTA	RES_IDRESPUESTA	RES_RESPUESTA	RES_ACTIVA	ESCRIBIBLE
1	1	1	GE	1161	Dirección Territorial	3806		SI	SI
1	1	2	GE	1	Lugar de la Encuesta	1		SI	SI
1	1	3	GE	2	Método de recolección	2	Vivienda de residencia	SI	SI
1	1	3	GE	2	Método de recolección	3	Entrevista Telefónica	SI	SI
1	1	3	GE	2	Método de recolección	4	Entrevista presencial (en un lugar distinto de la vivienda)	SI	SI
1	1	3	GE	2	Método de recolección	5	Otro, Cuál?	SI	SI
1	1	3	GE	2	Método de recolección	2334	Jornada de Atención	SI	SI
1	1	4	IN	35	De acuerdo con su cultura, pueblo o rasgos físicos, ...Se autoreconoce como: <i><font color="#006600">(Encuestador: No asuma la respuesta por la apariencia física, lengua, u apellidos de las personas. Es necesario leer la pregunta)</font></i>	112	Indígena	SI	SI
1	1	4	IN	35	De acuerdo con su cultura, pueblo o rasgos físicos, ...Se autoreconoce como: <i><font color="#006600">(Encuestador: No asuma la respuesta por la apariencia física, lengua, u apellidos de las personas. Es necesario leer la pregunta)</font></i>	113	Gitano(a), Rrom	SI	SI
1	1	4	IN	35	De acuerdo con su cultura, pueblo o rasgos físicos, ...Se autoreconoce como: <i><font color="#006600">(Encuestador: No asuma la respuesta por la apariencia física, lengua, u apellidos de las personas. Es necesario leer la pregunta)</font></i>	114	Raizal del Archipiélago de San Andrés, Providencia y Santa Catalina	SI	SI
1	1	4	IN	35	De acuerdo con su cultura, pueblo o rasgos físicos, ...Se autoreconoce como: <i><font color="#006600">(Encuestador: No asuma la respuesta por la apariencia física, lengua, u apellidos de las personas. Es necesario leer la pregunta)</font></i>	115	Palenquero (a)	SI	SI
1	1	4	IN	35	De acuerdo con su cultura, pueblo o rasgos físicos, ...Se autoreconoce como: <i><font color="#006600">(Encuestador: No asuma la respuesta por la apariencia física, lengua, u apellidos de las personas. Es necesario leer la pregunta)</font></i>	116	Negro(a), afrocolombiano(a) o afrodescendiente	SI	SI
